yealy,Brakewear PM2.5 (D),Brakewear PM2.5 (G),Brakewear PM2.5(AVG),Exhaust CO (AVG),Exhaust CO (D),Exhaust CO (G),Exhaust NOx (AVG),Exhaust NOx (D),Exhaust NOx (G),Exhaust PM2.5 (AVG),Exhaust PM2.5 (D),Exhaust PM2.5 (G),Tirewear PM2.5 (D),Tirewear PM2.5 (G),Tirewear PM2.5(AVG),Total HC (AVG) (AVG),Total HC (D),Total HC (G)
2010,3,3,3,9786,19401,9280,2238,1223,951,66,36,11,1,1,1,857,1190,851
2011,3,3,3,9241,17945,8441,1996,1131,828,55,27,10,1,1,1,785,1097,755
2012,3,3,3,8622,16342,7070,1801,947,630,49,24,8,1,1,1,702,997,591
2013,3,3,3,8024,9831,6533,1618,760,562,43,16,7,1,1,1,638,520,529
2014,3,3,3,7650,6647,6212,1426,476,479,37,9,6,1,1,1,588,344,482
2015,3,3,3,7106,5028,5763,1237,321,401,32,5,6,1,1,1,533,266,433
2016,3,3,3,6288,3508,5224,1086,193,343,27,3,5,1,1,1,474,170,388
2017,3,3,3,5846,3727,4875,979,201,290,24,3,5,1,1,1,434,179,354
2018,3,3,3,5473,3349,4646,876,137,256,21,2,5,1,1,1,398,142,328
2019,3,3,3,5094,3590,4396,771,135,215,19,2,4,1,1,1,362,145,302
2020,3,3,3,4702,3640,4152,686,129,192,16,2,4,1,1,1,330,143,280
2021,3,3,3,4418,3784,3956,623,133,173,14,2,4,1,1,1,310,145,263
2022,3,3,3,4205,3661,3812,569,112,157,13,2,4,1,1,1,293,137,251